#,英文,中文,字母,主題（精選 200）,會了✓
198,circle,圓圈,C,,
199,city,城市,C,,
200,clap,拍手,C,,
201,class,班級,C,學校,
202,classmate,同班同學,C,學校,
203,classroom,教室,C,學校,
204,clean,打掃,C,形容詞,
205,clear,清楚的,C,,
206,clerk,店員,C,,
207,climb,爬,C,,
208,clock,時鐘,C,,
209,close,關上,C,,
210,clothes,衣服,C,,
211,cloud,雲,C,天氣,
212,cloudy,多雲的,C,天氣,
213,club,社團,C,,
214,coat,大衣,C,,
215,coffee,咖啡,C,,
216,cold,寒冷的,C,形容詞,
217,collect,收集,C,,
218,color,顏色,C,顏色,
219,comb,梳子,C,,
220,come,來,C,動作,
221,comfortable,舒適的,C,,
222,comic,連環漫畫,C,,
223,common,共同的,C,,
224,computer,電腦,C,,
225,convenient,方便的,C,,
226,cook,煮飯,C,,
227,cookie,餅乾,C,,
228,cool,涼爽的,C,天氣,
229,copy,抄寫、複製,C,,
230,corner,角落,C,,
231,correct,正確的,C,,
232,cost,價值,C,,
233,couch,沙發,C,,
234,count,計算,C,,
235,country,鄉村,C,,
236,course,課程,C,,
237,cousin,堂、表兄弟姊妹,C,家庭,
238,cover,覆蓋、封面、掩護,C,,
239,cow,母牛,C,動物,
240,crazy,瘋狂的,C,,
241,cross,越過,C,,
242,cry,哭,C,,
243,cup,茶杯,C,,
244,cut,切,C,,
245,cute,可愛的,C,,
246,dance,跳舞,D,,
247,dangerous,危險的,D,,
248,dark,黑暗的,D,,
249,date,日期,D,,
250,daughter,女兒,D,家庭,
251,day,日子,D,時間／星期／月份,
252,dead,死的,D,,
253,deal,處理、交易,D,,
254,dear,親愛的,D,,
255,death,死亡,D,,
256,December,十二月,D,,
257,decide,決定,D,,
258,deep,深的,D,,
259,define,下定義,D,,
260,delicious,美味的,D,,
261,dentist,牙醫,D,,
262,department store,百貨公司,D,,
263,desk,書桌,D,學校,
264,dictionary,字典,D,,
265,die,死掉,D,,
266,different,不同的,D,,
267,difficult,困難的,D,,
268,dig,挖掘,D,,
269,dining room,飯廳,D,,
270,dinner,晚餐,D,,
271,dirty,骯髒的,D,形容詞,
272,dish,盤子、菜餚,D,,
273,"do (does, did, done)",做,D,,
274,doctor (Dr.),醫生,D,,
275,dog,狗,D,動物,
276,doll,洋娃娃,D,,
277,dollar,元,D,,
278,door,門,D,,
279,dot,點,D,,
280,down,向下,D,,
281,download,下載,D,,
282,dozen,〈一〉打,D,,
283,draw,畫,D,,
284,drawer,抽屜,D,,
285,dream,〈做〉夢,D,,
286,dress,洋裝,D,,
287,drink,喝,D,動作,
288,drive,駕駛,D,,
289,driver,駕駛人,D,,
290,drop,掉落,D,,
291,drum,鼓,D,,
292,dry,乾的,D,,
293,duck,鴨,D,動物,
294,during,在…期間,D,,
295,each,每一〈的〉,E,,
296,ear,耳朵,E,身體,
297,early,早的,E,,
298,earth,地球,E,,
299,earthquake,地震,E,,
300,east,東方,E,,
301,Easter,復活節,E,,
302,easy,容易的,E,形容詞,
303,eat,吃,E,動作,
304,egg,蛋,E,食物,
305,eight,八,E,數字,
306,eighteen,十八,E,,
307,eighty,八十,E,,
308,either,也不,E,,
309,elementary school,小學,E,學校,
310,elephant,大象,E,動物,
311,eleven,十一,E,數字,
312,else,其他的,E,,
313,e-mail,電子郵件,E,,
314,end,結束,E,,
315,engineer,工程師,E,,
316,English,英語,E,,
317,enjoy,喜愛,E,,
318,enough,足夠的,E,,
319,enter,進入,E,,
320,envelope,信,E,,
321,eraser,橡皮擦,E,學校,
322,error,錯誤,E,,
323,eve,前夕,E,,
324,even,甚至,E,,
325,evening,傍晚,E,,
326,ever,曾經,E,,
327,every,每一個(的),E,,
328,everyone (everybody),每一個人,E,,
329,everything,每件事,E,,
330,example,例子,E,,
331,excellent,極好的,E,,
332,except,除了…之外,E,,
333,excited,感到興奮的,E,,
334,exciting,令人興奮的,E,,
335,excuse,原諒,E,,
336,exercise,運動,E,,
337,expect,期待,E,,
338,expensive,昂貴的,E,,
339,experience,經驗,E,,
340,explain,解釋,E,,
341,eye,眼睛,E,身體,
342,face,臉孔、面對,F,身體,
343,fact,事實,F,,
344,factory,工廠,F,,
345,fail,失敗,F,,
346,fall,秋天,F,,
347,family,家庭,F,家庭,
348,famous,有名的,F,,
349,fan,扇子、擁護者,F,,
350,far,遠的,F,,
351,farm,農田,F,,
352,farmer,農夫,F,,
353,fast,快的,F,形容詞,
354,fat,胖的,F,,
355,"father (dad, daddy)",父親,F,家庭,
356,favorite,最喜愛的,F,,
357,February,二月,F,時間／星期／月份,
358,feed,餵,F,,
359,feel,覺得,F,,
360,festival,節慶,F,,
361,fever,發燒,F,,
362,few,少數的,F,,
363,fifteen,十五,F,,
364,fifty,五十,F,,
365,fight,打架,F,,
366,file,檔案,F,,
367,fill,裝滿,F,,
368,finally,最後,F,,
369,find,找到,F,,
370,fine,很好的,F,,
371,finger,手指,F,身體,
372,finish,完成,F,,
373,fire,火焰、開火,F,,
374,first,第一(的),F,數字,
375,fish,魚,F,食物,
376,fisherman,漁夫,F,,
377,five,五,F,數字,
378,fix,修理,F,,
379,floor,地板,F,,
380,flower,花朵,F,,
381,fly,飛,F,,
382,follow,遵循、跟隨,F,,
383,food,食物,F,食物,
384,fool,傻瓜、愚弄,F,,
385,foot,腳,F,身體,
386,for,為了,F,,
387,foreign,外國的,F,,
388,foreigner,外國人,F,,
389,forget,忘記,F,,
390,fork,叉子,F,,
391,forty,四十,F,,
392,four,四,F,數字,
393,fourteen,十四,F,,
394,fox,狐狸,F,,
395,free,空閒的、免費,F,,
396,fresh,新鮮的,F,,
397,Friday,星期五,F,時間／星期／月份,
398,friend,朋友,F,學校,
399,friendly,友善的,F,,
400,fries (French fries),炸薯條,F,,
401,frog,青蛙,F,動物,
402,from,從,F,,
403,front,前面,F,,
404,fruit,水果,F,食物,
405,fry,油炸,F,,
406,full,滿的,F,,
407,fun,樂趣,F,,
408,funny,好笑的,F,,
409,future,未來,F,,
410,game,比賽、遊戲,G,,
411,garden,花園,G,,
412,garbage,垃圾,G,,
413,gas,瓦斯,G,,
414,gate,大門,G,,
415,get,得到,G,,
416,ghost,鬼,G,,
417,giant,巨大的、巨人,G,,
418,gift,禮物,G,,
419,girl,女孩,G,,
420,give,給予,G,,
421,glad,高興的,G,,
422,glass,玻璃、玻璃杯,G,,
423,glasses,眼鏡,G,,
424,glove,手套,G,,
425,glue,膠水,G,,
426,go,去,G,動作,
427,goat,山羊,G,,
428,god,神,G,,
429,good,好的,G,形容詞,
430,"good-bye (goodbye, bye)",再見,G,,
431,goose,鵝,G,,
432,grade,成績、年級,G,,
433,gram,公克,G,,
434,grandfather (grandpa),祖父,G,家庭,
435,grandmother (grandma),祖母,G,家庭,
436,grape,葡萄,G,,
437,grass,草,G,,
438,gray,灰色的,G,顏色,
439,great,很棒的,G,,
440,green,綠色(的),G,顏色,
441,ground,地面,G,,
442,group,團體,G,,
443,grow,種植,G,,
444,guava,番石榴,G,,
445,guess,猜想,G,,
446,guitar,吉他,G,,
447,guy,傢伙,G,,
448,gym,體育館,G,,
449,habit,習慣,H,,
450,hair,頭髮,H,身體,
451,half,一半,H,,
452,Halloween,萬聖節,H,,
453,ham,火腿,H,,
454,hamburger (burger),漢堡,H,食物,
455,hand,手,H,身體,
456,handsome,英俊的,H,,
457,hang,懸掛,H,,
458,happen,發生,H,,
459,happy,快樂的,H,形容詞,
460,hard,困難的、硬的,H,,
461,hard-working,努力工作的,H,,
462,hat,帽子,H,,
463,hate,討厭,H,,
464,"have (has, had)",有,H,,
465,"he (him, his, himself)",他,H,,
466,head,頭,H,身體,
467,headache,頭痛,H,,
468,health,健康,H,,
469,healthy,健康的,H,,
470,hear,聽,H,,
471,heart,心,H,,
472,heat,熱度、加熱,H,,
473,heavy,重的,H,,
474,height,高度,H,,
475,hello,喂,H,,
476,help,幫忙,H,動作,
477,helpful,有幫助的,H,,
478,hen,母雞,H,,
479,here,這裡,H,,
480,hey,嘿,H,,
481,hi,嗨,H,,
482,hide,隱藏,H,,
483,high,高的,H,,
484,hike,徒步旅行,H,,
485,hill,小山,H,,
486,history,歷史,H,,
487,hit,打擊,H,,
488,hobby,嗜好,H,,
489,hold,拿著,H,,
490,holiday,假日,H,,
491,home,家,H,,
492,homework,家庭作業,H,學校,
493,honest,誠實的,H,,
494,honey,蜂蜜,H,,
495,hope,希望,H,,
496,horse,馬,H,動物,
497,hospital,醫院,H,,
498,hot,熱的,H,形容詞,
499,hot dog,熱狗,H,,
500,hotel,旅社,H,,
501,hour,小時,H,,
502,house,房屋,H,,
503,housewife,家庭主婦,H,,
504,how,如何,H,,
505,however,然而,H,,
506,hundred,百,H,數字,
507,hungry,飢餓的,H,,
508,hunt,打獵,H,,
509,hurry,趕忙,H,,
510,hurt,受傷、疼痛,H,,
511,husband,丈夫,H,家庭,
512,"I (me, my, mine, myself)",我,I,,
513,ice,冰,I,,
514,ice cream,冰淇淋,I,食物,
515,idea,主意,I,,
516,if,如果,I,,
517,important,重要的,I,,
518,in,在…裡面,I,,
519,inch,英吋,I,,
520,insect,昆蟲,I,動物,
521,inside,在…內部,I,,
522,interest,使…感興趣,I,,
523,interested,感興趣的,I,,
524,interesting,有趣的,I,,
525,Internet (Net),網路,I,,
526,interview,訪問、面試,I,,
527,into,到…之內,I,,
528,invite,邀請,I,,
529,island,島嶼,I,,
530,"it (its, itself)",它,I,,
531,item,項目,I,,
532,jacket,夾克,J,,
533,January,一月,J,時間／星期／月份,
534,jeans,牛仔褲,J,,
535,job,工作,J,,
536,jog,慢跑,J,,
537,join,加入,J,,
538,joke,笑話,J,,
539,joy,歡樂,J,,
540,juice,果汁,J,,
541,July,七月,J,時間／星期／月份,
542,jump,跳躍,J,動作,
543,June,六月,J,時間／星期／月份,
544,junior high school,國中,J,,
545,just,只是、剛才,J,,
546,keep,保持,K,,
547,key,鑰匙,K,,
548,kick,踢,K,,
549,kid,小孩,K,,
550,kill,殺,K,,
551,kilogram,公斤,K,,
552,kind,種類,K,,
553,king,國王,K,,
554,kiss,吻,K,,
555,kitchen,廚房,K,,
556,kite,風箏,K,,
557,knee,膝蓋,K,身體,
558,knife,刀子,K,,
559,knock,敲,K,,
560,know,知道,K,,
561,knowledge,知識,K,,
562,lake,湖,L,,
563,lamp,燈,L,,
564,land,土地,L,,
565,language,語言,L,,
566,large,大的,L,,
567,last,最後的,L,,
568,late,晚的,L,,
569,later,稍後,L,,
570,laugh,笑,L,,
571,lawyer,律師,L,,
572,lazy,懶惰的,L,,
573,lead,引導,L,,
574,leader,領導者,L,,
575,learn,學習,L,,
576,least,最少〈的〉,L,,
577,leave,離開,L,,
578,left,左邊,L,,
579,leg,腿,L,身體,
580,lemon,檸檬,L,,
581,lend,借出,L,,
582,less,較少的,L,,
583,lesson,課,L,,
584,let,讓,L,,
585,letter,信,L,,
586,level,程度、等級,L,,
587,library,圖書館,L,學校,
588,lie,說謊,L,,
589,life,生活,L,,
590,light,燈光、輕的,L,,
591,like,喜歡,L,,
592,line,隊伍、線條,L,,
593,lion,獅子,L,動物,
594,lip,嘴唇,L,,
595,list,表、名單,L,,
596,listen,聽,L,動作,
597,little,小的,L,,
598,live,住、活的、實況,L,,
599,living room,客廳,L,,
600,lonely,寂寞的,L,,
601,long,長的,L,形容詞,
602,look,看,L,動作,
603,lose,遺失,L,,
604,loud,大聲的,L,,
605,love,喜愛,L,,
606,lovely,可愛的,L,,
607,low,低的,L,,
608,lucky,幸運的,L,,
609,lunch,午餐,L,,
610,machine,機器,M,,
611,mad,瘋狂的,M,,
612,magic,神奇的、魔術,M,,
613,mail,信件,M,,
614,mailman (mail carrier),郵差,M,,
615,main,主要的,M,,
616,make,製作,M,,
617,man,男人,M,,
618,many,許多的,M,,
619,map,地圖,M,,
620,March,三月,M,時間／星期／月份,
621,mark,做記號,M,,
622,marker,簽字筆,M,,
623,market,市場,M,,
624,married,已婚的,M,,
625,mask,面具,M,,
626,math (mathematics),數學,M,,
627,matter,事情,M,,
628,may (might),可以、可能(May 五月),M,時間／星期／月份,
629,May,可以、可能(May 五月),M,時間／星期／月份,
630,maybe,也許,M,,
631,meal,一餐,M,,
632,mean,意指,M,,
633,meat,肉,M,食物,
634,medicine,藥,M,,
635,medium,中號〈的〉,M,,
636,meet,遇見,M,,
637,meeting,會議,M,,
638,member,成員,M,,
639,menu,菜單、選單,M,,
640,metro,捷運,M,,
641,middle,中間(的),M,,
642,mile,英里、哩,M,,
643,milk,牛奶,M,,
644,million,百萬,M,,
645,mind,介意,M,,
646,minute,分鐘,M,,
647,Miss,小姐、想念,M,,
648,miss,小姐、想念,M,,
649,mistake,錯誤,M,,
650,modern,現代化的,M,,
651,moment,片刻,M,,
652,Monday,星期一,M,時間／星期／月份,
653,money,錢,M,,
654,monkey,猴子,M,動物,
655,month,月份,M,,
656,moon,月亮,M,天氣,
657,more,更多的,M,,
658,morning,早上,M,,
659,mop,拖地,M,,
660,most,大部分的,M,,
661,"mother (mom, mommy)",母親,M,家庭,
662,motorcycle,機車,M,,
663,mountain,山,M,,
664,mouse,老鼠,M,動物,
665,mouth,嘴巴,M,身體,
666,move,移動,M,,
667,movie,電影,M,,
668,Mr.,先生,M,,
669,Mrs.,太太,M,,
670,Ms.,女士,M,,
671,much,許多(不可數),M,,
672,mud,泥巴,M,,
673,museum,博物館,M,,
674,music,音樂,M,,
675,must,必須,M,,
676,nail,釘子,N,,
677,name,名字,N,,
678,national,國家的,N,,
679,nature,自然,N,,
680,near,在…附近,N,,
681,neck,脖子,N,身體,
682,need,需要,N,,
683,neighbor,鄰居,N,,
684,never,從不,N,,
685,new,新的,N,形容詞,
686,news,消息、新聞,N,,
687,newspaper,報紙,N,,
688,next,下一個,N,,
689,nice,好的,N,,
690,night,晚上,N,,
691,nine,九,N,數字,
692,nineteen,十九,N,,
693,ninety,九十,N,,
694,no,沒有、不是,N,,
695,nobody,沒有人,N,,
696,noise,噪音,N,,
697,noisy,吵鬧的,N,,
698,noodle,麵條,N,食物,
699,noon,中午,N,,
700,north,北方,N,,
701,nose,鼻子,N,身體,
702,not,不、不是,N,,
703,note,筆記,N,,
704,notebook,筆記本、筆電,N,學校,
705,nothing,沒東西、沒事,N,,
706,notice,注意到,N,,
707,November,十一月,N,,
708,now,現在,N,,
709,number,號碼,N,,
710,nurse,護士,N,,
711,o'clock,…點鐘,O,,
712,October,十月,O,時間／星期／月份,
713,of,...的,O,,
714,off,自…離開,O,,
715,office,辦公室,O,,
716,officer,官員,O,,
717,often,時常,O,,
718,oil,油,O,,
719,OK,可以,O,,
720,old,老的,O,形容詞,
721,on,在…上面,O,,
722,once,一次,O,,
723,one,一,O,數字,
724,only,只有,O,,
725,open,打開、開放,O,,
726,or,或,O,,
727,orange,柳橙,O,食物,
728,order,點餐、秩序,O,,
729,other,其他的,O,,
730,out,在外,O,,
731,outside,在…外部,O,,
732,over,結束,O,,
733,own,自己的,O,,
734,p.m.,下午,P,,
735,pack,包,P,,
736,package,包裹,P,,
737,page,頁,P,,
738,paint,繪畫,P,,
739,pair,一雙,P,,
740,pants,長褲,P,,
741,papaya,木瓜,P,,
742,paper,紙,P,,
743,parent,父(母)親,P,,
744,park,公園,P,,
745,part,部分,P,,
746,party,派對,P,,
747,pass,通過,P,,
748,past,經過,P,,
749,paste,黏貼、漿糊,P,,
750,pay,付錢,P,,
751,PE (physical education),體育,P,,
752,peach,桃子,P,,
753,pear,梨子,P,,
754,pen,筆,P,學校,
755,pencil,鉛筆,P,學校,
756,people,人們、人民,P,,
757,perhaps,或許,P,,
758,person,人,P,,
759,pet,寵物,P,,
760,photo,相片,P,,
761,piano,鋼琴,P,,
762,pick,撿拾,P,,
763,picnic,野餐,P,,
764,picture,圖片、照片,P,,
765,pie,派,P,,
766,piece,片,P,,
767,pig,豬,P,動物,
768,pin,大頭針,P,,
769,pink,粉紅色(的),P,顏色,
770,pipe,管,P,,
771,pizza,披薩,P,,
772,place,地方,P,,
773,plan,計畫,P,,
774,planet,行星,P,,
775,plant,植物,P,,
776,plate,盤子,P,,
777,play,玩,P,動作,
778,player,球員、玩家,P,,
779,playground,操場,P,,
780,please,請,P,,
781,pleasure,樂趣、使高興,P,,
782,pocket,口袋,P,,
783,point,指著、得分,P,,
784,police,警察,P,,
785,polite,有禮貌的,P,,
786,pond,池塘,P,,
787,pool,游泳池,P,,
788,poor,貧困的、可憐的,P,,
789,pop,流行的、流行音樂,P,,
790,popcorn,爆米花,P,,
791,popular,受歡迎的,P,,
792,pork,豬肉,P,,
793,possible,可能的,P,,
794,post office,郵局,P,,
795,postcard,明信片,P,,
796,pot,罐、壺、鍋子,P,,
797,pound,磅,P,,
798,power,力量,P,,
799,probably,可能、大概,P,,
800,practice,練習,P,,
801,pray,祈禱,P,,
802,prepare,準備,P,,
803,present,禮物,P,,
804,pretty,漂亮的、非常,P,,
805,price,價格,P,,
806,prize,獎品、獎金,P,,
807,problem,問題,P,,
808,program,節目,P,,
809,proud,驕傲的,P,,
810,public,公立的、公眾的,P,,
811,pull,拉,P,,
812,pumpkin,南瓜,P,,
813,puppy,小狗,P,,
814,purple,紫色的,P,顏色,
815,push,推,P,,
816,put,放,P,,
817,quarter,15 分鐘、1/4,Q,,
818,queen,皇后,Q,,
819,question,問題,Q,,
820,quick,迅速的,Q,,
821,quiet,安靜的,Q,,
822,quite,相當,Q,,
823,quiz,小考,Q,,
824,rabbit,兔子,R,動物,
825,race,賽跑,R,,
826,radio,收音機,R,,
827,rain,下雨,R,天氣,
828,rainbow,彩虹,R,天氣,
829,rainy,下雨的,R,天氣,
830,raise,舉起、養育,R,,
831,rat,(大)老鼠、鼠輩,R,,
832,reach,到達、伸手拿,R,,
833,read,讀,R,動作,
834,ready,準備好的,R,,
835,real,真的,R,,
836,really,真地,R,,
837,reason,理由,R,,
838,red,紅色(的),R,顏色,
839,refrigerator (fridge),冰箱,R,,
840,relative,親戚,R,,
841,remember,記得,R,,
842,repeat,重複,R,,
843,report,報告,R,,
844,reporter,記者,R,,
845,rest,休息,R,,
846,restaurant,餐館,R,,
847,restroom,洗手間,R,,
848,rice,米飯,R,食物,
849,rich,有錢的,R,,
850,ride,騎,R,,
851,right,右邊,R,,
852,ring,戒指,R,,
853,rise,上升,R,,
854,river,河,R,,
855,road,道路,R,,
856,robot,機器人,R,,
857,R.O.C./ROC,中華民國,R,,
858,rock,岩石,R,,
859,roll,滾,R,,
860,room,房間,R,,
861,root,根,R,,
862,rope,繩子,R,,
863,rose,玫瑰,R,,
864,round,圓形的,R,,
865,row,划(船),R,,
866,rule,規則,R,,
867,ruler,尺,R,學校,
868,run,跑,R,動作,
869,sad,悲傷的,S,形容詞,
870,safe,安全的,S,,
871,sail,航行,S,,
872,salad,沙拉,S,,
873,sale,出售,S,,
874,salesman,推銷員,S,,
875,salt,鹽,S,,
876,same,相同的,S,,
877,sandwich,三明治,S,,
878,Saturday,星期六,S,時間／星期／月份,
879,save,節省、挽救,S,,
880,say,說,S,,
881,scared,害怕的,S,,
882,school,學校,S,學校,
883,science,科學,S,,
884,scooter,速克達機車,S,,
885,screen,螢幕,S,,
886,sea,海,S,,
887,season,季節,S,,
888,seat,座位,S,,
889,second,第二(的),S,數字,
890,secretary,秘書,S,,
891,see,看,S,,
892,seed,種子,S,,
893,seesaw,蹺蹺板,S,,
894,seldom,很少,S,,
895,sell,賣,S,,
896,send,寄,S,,
897,senior high school,高中,S,,
898,sentence,句子,S,,
899,September,九月,S,時間／星期／月份,
900,serious,嚴重的,S,,
901,service,服務,S,,
902,set,(電視)機；一套,S,,
903,seven,七,S,數字,
904,seventeen,十七,S,,
905,seventy,七十,S,,
906,several,幾個的,S,,
907,shake,搖動,S,,
908,shape,形狀,S,,
909,share,分享,S,,
910,sharp,尖的、銳利的,S,,
911,"she (her, hers, herself)",她,S,,
912,sheep,綿羊,S,動物,
913,shine,照耀,S,,
914,ship,船,S,,
915,shirt,襯衫,S,,
916,shoe (s),鞋子,S,,
917,shop,商店,S,,
918,shopkeeper,店主,S,,
919,short,短的,S,形容詞,
920,shorts,短褲,S,,
921,should,應該,S,,
922,shoulder,肩膀,S,,
923,shout,喊叫,S,,
924,show,指示、表演,S,,
925,shower,淋浴、陣雨,S,,
926,shy,害羞的,S,,
927,sick,生病的,S,,
928,side,旁邊、邊、面,S,,
929,sidewalk,人行道,S,,
930,sight,視力,S,,
931,sign,標誌,S,,
932,simple,簡單的,S,,
933,since,自從,S,,
934,sing,唱歌,S,動作,
935,singer,歌手,S,,
936,sir,先生,S,,
937,sister,姊妹,S,家庭,
938,sit,坐,S,動作,
939,six,六,S,數字,
940,sixteen,十六,S,,
941,sixty,六十,S,,
942,size,尺寸,S,,
943,skirt,裙子,S,,
944,sky,天空,S,天氣,
945,sleep,睡覺,S,動作,
946,slide,滑坡、滑動,S,,
947,slim,苗條的,S,,
948,slow,慢的,S,,
949,small,小的,S,形容詞,
950,smart,聰明的,S,,
951,smell,聞起來,S,,
952,smile,微笑,S,,
953,smoke,煙霧、抽菸,S,,
954,snack,點心,S,,
955,snake,蛇,S,動物,
956,snow,下雪,S,天氣,
957,snowy,下雪的,S,天氣,
958,so,如此地,S,,
959,soccer,足球,S,,
960,socks,襪子,S,,
961,sofa,沙發,S,,
962,soldier,軍人,S,,
963,some,一些,S,,
964,someone (somebody),某人,S,,
965,something,某事,S,,
966,sometimes,有時候,S,,
967,somewhere,某處,S,,
968,son,兒子,S,家庭,
969,song,歌曲,S,,
970,soon,不久、即將,S,,
971,sore,疼痛的,S,,
972,sorry,抱歉〈的〉,S,,
973,sound,聲音、聽起來,S,,
974,soup,湯,S,食物,
975,south,南方,S,,
976,space,空間,S,,
977,speak,說,S,動作,
978,special,特別的,S,,
979,spell,拼字,S,,
980,spend,花(錢、時間),S,,
981,spider,蜘蛛,S,,
982,spoon,湯匙,S,,
983,sports,運動,S,,
984,spring,春天,S,,
985,square,正方形的,S,,
986,stairs,樓梯,S,,
987,stamp,郵票,S,,
988,stand,站立,S,動作,
989,star,星星,S,天氣,
990,start,開始,S,,
991,station,車站、站、局,S,,
992,stay,停留,S,,
993,steak,牛排,S,,
994,still,仍然,S,,
995,stomach,胃,S,,
996,stop,停,S,,
997,store,商店,S,,
998,story,故事,S,,
999,straight,直的,S,,
